series,episode,baker_name,result,signature_bake,show_stopper,technical,baker_age,baker_occupation,hometown,baker
8,4,Kate Lyon,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,6,29,Health and safety inspector,Merseyside,Kate
8,4,Liam Charles,IN,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,3,19,Student,North London,Liam
8,4,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,4,Sophie Faldo,IN,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,4,Stacey Hart,IN,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,1,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,4,Steven Carter-Bailey,IN,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,7,34,Marketer,"Watford, Hertfordshire",Steven
8,4,Tom Hetherington,OUT,Stem Ginger Caramel Shortbreads,Hummingbird Cake,5,29,Architect,Edinburgh,Tom
8,5,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,5,Yan Tsou,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,6,46,Laboratory research scientist,North London,Yan
8,5,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,5,James Hillery,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,7,46,Banker,"Brentwood, Essex",James
8,5,Julia Chernogorova,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,3,21,Aviation Broker,"Crawley, West Sussex",Julia
8,5,Kate Lyon,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,8,29,Health and safety inspector,Merseyside,Kate
8,5,Liam Charles,IN,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,2,19,Student,North London,Liam
8,5,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,5,Sophie Faldo,STAR BAKER,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,5,Stacey Hart,IN,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,4,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,5,Steven Carter-Bailey,IN,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,5,34,Marketer,"Watford, Hertfordshire",Steven
8,5,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
8,6,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,6,Yan Tsou,IN,'πr2' Decorative Pies,Chequerboard Pie,1,46,Laboratory research scientist,North London,Yan
8,6,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,6,James Hillery,NA,NA,NA,NA,46,Banker,"Brentwood, Essex",James
8,6,Julia Chernogorova,OUT,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,7,21,Aviation Broker,"Crawley, West Sussex",Julia
8,6,Kate Lyon,IN,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,5,29,Health and safety inspector,Merseyside,Kate
8,6,Liam Charles,STAR BAKER,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,4,19,Student,North London,Liam
8,6,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,6,Sophie Faldo,IN,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,6,Stacey Hart,IN,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,6,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,6,Steven Carter-Bailey,IN,'Fleetwood Mac' Decorative Pies,Christmas Pie,3,34,Marketer,"Watford, Hertfordshire",Steven
8,6,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
8,7,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,7,Yan Tsou,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle,5,46,Laboratory research scientist,North London,Yan
8,7,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,7,James Hillery,NA,NA,NA,NA,46,Banker,"Brentwood, Essex",James
8,7,Julia Chernogorova,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",Julia
8,7,Kate Lyon,IN,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,6,29,Health and safety inspector,Merseyside,Kate
8,7,Liam Charles,IN,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,2,19,Student,North London,Liam
8,7,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,7,Sophie Faldo,IN,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,3,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,7,Stacey Hart,IN,My All Time Favourite Desserts,Pastry Surprise,4,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,7,Steven Carter-Bailey,STAR BAKER,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,1,34,Marketer,"Watford, Hertfordshire",Steven
8,7,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
8,8,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,8,Yan Tsou,NA,NA,NA,NA,46,Laboratory research scientist,North London,Yan
8,8,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,8,James Hillery,NA,NA,NA,NA,46,Banker,"Brentwood, Essex",James
8,8,Julia Chernogorova,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",Julia
8,8,Kate Lyon,IN,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,2,29,Health and safety inspector,Merseyside,Kate
8,8,Liam Charles,OUT,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,5,19,Student,North London,Liam
8,8,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,8,Sophie Faldo,IN,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,4,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,8,Stacey Hart,STAR BAKER,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,3,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,8,Steven Carter-Bailey,IN,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,1,34,Marketer,"Watford, Hertfordshire",Steven
8,8,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
8,9,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,9,Yan Tsou,NA,NA,NA,NA,46,Laboratory research scientist,North London,Yan
8,9,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,9,James Hillery,NA,NA,NA,NA,46,Banker,"Brentwood, Essex",James
8,9,Julia Chernogorova,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",Julia
8,9,Kate Lyon,IN,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,4,29,Health and safety inspector,Merseyside,Kate
8,9,Liam Charles,NA,NA,NA,NA,19,Student,North London,Liam
8,9,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,9,Sophie Faldo,STAR BAKER,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,1,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,9,Stacey Hart,OUT,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,2,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,9,Steven Carter-Bailey,IN,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,3,34,Marketer,"Watford, Hertfordshire",Steven
8,9,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
8,10,Chris Geiger,NA,NA,NA,NA,50,Software developer,Bristol,Chris
8,10,Yan Tsou,NA,NA,NA,NA,46,Laboratory research scientist,North London,Yan
8,10,Flo Atkins,NA,NA,NA,NA,71,Retired,Merseyside,Flo
8,10,James Hillery,NA,NA,NA,NA,46,Banker,"Brentwood, Essex",James
8,10,Julia Chernogorova,NA,NA,NA,NA,21,Aviation Broker,"Crawley, West Sussex",Julia
8,10,Kate Lyon,Runner-up,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",3,29,Health and safety inspector,Merseyside,Kate
8,10,Liam Charles,NA,NA,NA,NA,19,Student,North London,Liam
8,10,Peter Abatan,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex",Peter
8,10,Sophie Faldo,WINNER,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,2,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Sophie
8,10,Stacey Hart,NA,NA,NA,NA,42,Former school teacher,"Radlett, Hertfordshire",Stacey
8,10,Steven Carter-Bailey,Runner-up,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,1,34,Marketer,"Watford, Hertfordshire",Steven
8,10,Tom Hetherington,NA,NA,NA,NA,29,Architect,Edinburgh,Tom
9,1,Antony Amourdoux,IN,NA,NA,12,30,Banker,London,Antony
9,1,Briony Williams,IN,NA,NA,2,33,Full-time parent,Bristol,Briony
9,1,Dan Beasley-Harling,IN,NA,NA,4,36,Full-time parent,London,Dan
9,1,Imelda McCarron,OUT,NA,NA,11,33,Countryside recreation officer,County Tyrone,Imelda
9,1,Jon Jenkins,IN,NA,NA,5,47,Blood courier,Newport,Jon
9,1,Karen Wright,IN,NA,NA,6,60,In-store sampling assistant,Wakefield,Karen
9,1,Kim-Joy Hewlett,IN,NA,NA,10,27,Mental health specialist,Leeds,Kim-Joy
9,1,Luke Thompson,IN,NA,NA,8,30,Civil servant/house and techno DJ,Sheffield,Luke
9,1,Manon Lagrave,STAR BAKER,NA,NA,3,26,Software project manager,London,Manon
9,1,Rahul Mandal,IN,NA,NA,7,30,Research scientist,Rotherham,Rahul
9,1,Ruby Bhogal,IN,NA,NA,1,29,Project manager,London,Ruby
9,1,Terry Hartill,IN,NA,NA,9,56,Retired air steward,West Midlands,Terry
9,2,Antony Amourdoux,IN,NA,NA,9,30,Banker,London,Antony
9,2,Briony Williams,IN,NA,NA,5,33,Full-time parent,Bristol,Briony
9,2,Dan Beasley-Harling,IN,NA,NA,3,36,Full-time parent,London,Dan
9,2,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,2,Jon Jenkins,IN,NA,NA,1,47,Blood courier,Newport,Jon
9,2,Karen Wright,IN,NA,NA,11,60,In-store sampling assistant,Wakefield,Karen
9,2,Kim-Joy Hewlett,IN,NA,NA,4,27,Mental health specialist,Leeds,Kim-Joy
9,2,Luke Thompson,OUT,NA,NA,7,30,Civil servant/house and techno DJ,Sheffield,Luke
9,2,Manon Lagrave,IN,NA,NA,6,26,Software project manager,London,Manon
9,2,Rahul Mandal,STAR BAKER,NA,NA,2,30,Research scientist,Rotherham,Rahul
9,2,Ruby Bhogal,IN,NA,NA,10,29,Project manager,London,Ruby
9,2,Terry Hartill,IN,NA,NA,8,56,Retired air steward,West Midlands,Terry
9,3,Antony Amourdoux,OUT,NA,NA,8,30,Banker,London,Antony
9,3,Briony Williams,IN,NA,NA,9,33,Full-time parent,Bristol,Briony
9,3,Dan Beasley-Harling,IN,NA,NA,6,36,Full-time parent,London,Dan
9,3,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,3,Jon Jenkins,IN,NA,NA,2,47,Blood courier,Newport,Jon
9,3,Karen Wright,IN,NA,NA,5,60,In-store sampling assistant,Wakefield,Karen
9,3,Kim-Joy Hewlett,IN,NA,NA,10,27,Mental health specialist,Leeds,Kim-Joy
9,3,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,3,Manon Lagrave,IN,NA,NA,3,26,Software project manager,London,Manon
9,3,Rahul Mandal,STAR BAKER,NA,NA,4,30,Research scientist,Rotherham,Rahul
9,3,Ruby Bhogal,IN,NA,NA,7,29,Project manager,London,Ruby
9,3,Terry Hartill,IN,NA,NA,1,56,Retired air steward,West Midlands,Terry
9,4,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,4,Briony Williams,IN,NA,NA,5,33,Full-time parent,Bristol,Briony
9,4,Dan Beasley-Harling,STAR BAKER,NA,NA,1,36,Full-time parent,London,Dan
9,4,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,4,Jon Jenkins,IN,NA,NA,3,47,Blood courier,Newport,Jon
9,4,Karen Wright,IN,NA,NA,7,60,In-store sampling assistant,Wakefield,Karen
9,4,Kim-Joy Hewlett,IN,NA,NA,6,27,Mental health specialist,Leeds,Kim-Joy
9,4,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,4,Manon Lagrave,IN,NA,NA,8,26,Software project manager,London,Manon
9,4,Rahul Mandal,IN,NA,NA,4,30,Research scientist,Rotherham,Rahul
9,4,Ruby Bhogal,IN,NA,NA,2,29,Project manager,London,Ruby
9,4,Terry Hartill,[a],NA,NA,NA,56,Retired air steward,West Midlands,Terry
9,5,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,5,Briony Williams,IN,NA,NA,6,33,Full-time parent,Bristol,Briony
9,5,Dan Beasley-Harling,IN,NA,NA,2,36,Full-time parent,London,Dan
9,5,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,5,Jon Jenkins,IN,NA,NA,7,47,Blood courier,Newport,Jon
9,5,Karen Wright,OUT,NA,NA,9,60,In-store sampling assistant,Wakefield,Karen
9,5,Kim-Joy Hewlett,STAR BAKER,NA,NA,4,27,Mental health specialist,Leeds,Kim-Joy
9,5,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,5,Manon Lagrave,IN,NA,NA,5,26,Software project manager,London,Manon
9,5,Rahul Mandal,IN,NA,NA,3,30,Research scientist,Rotherham,Rahul
9,5,Ruby Bhogal,IN,NA,NA,1,29,Project manager,London,Ruby
9,5,Terry Hartill,OUT,NA,NA,8,56,Retired air steward,West Midlands,Terry
9,6,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,6,Briony Williams,STAR BAKER,NA,NA,1,33,Full-time parent,Bristol,Briony
9,6,Dan Beasley-Harling,OUT,NA,NA,6,36,Full-time parent,London,Dan
9,6,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,6,Jon Jenkins,IN,NA,NA,2,47,Blood courier,Newport,Jon
9,6,Karen Wright,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield,Karen
9,6,Kim-Joy Hewlett,IN,NA,NA,5,27,Mental health specialist,Leeds,Kim-Joy
9,6,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,6,Manon Lagrave,IN,NA,NA,4,26,Software project manager,London,Manon
9,6,Rahul Mandal,IN,NA,NA,3,30,Research scientist,Rotherham,Rahul
9,6,Ruby Bhogal,IN,NA,NA,7,29,Project manager,London,Ruby
9,6,Terry Hartill,NA,NA,NA,NA,56,Retired air steward,West Midlands,Terry
9,7,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,7,Briony Williams,IN,NA,NA,5,33,Full-time parent,Bristol,Briony
9,7,Dan Beasley-Harling,NA,NA,NA,NA,36,Full-time parent,London,Dan
9,7,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,7,Jon Jenkins,OUT,NA,NA,4,47,Blood courier,Newport,Jon
9,7,Karen Wright,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield,Karen
9,7,Kim-Joy Hewlett,STAR BAKER,NA,NA,6,27,Mental health specialist,Leeds,Kim-Joy
9,7,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,7,Manon Lagrave,IN,NA,NA,2,26,Software project manager,London,Manon
9,7,Rahul Mandal,IN,NA,NA,1,30,Research scientist,Rotherham,Rahul
9,7,Ruby Bhogal,IN,NA,NA,3,29,Project manager,London,Ruby
9,7,Terry Hartill,NA,NA,NA,NA,56,Retired air steward,West Midlands,Terry
9,8,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,8,Briony Williams,IN,NA,NA,1,33,Full-time parent,Bristol,Briony
9,8,Dan Beasley-Harling,NA,NA,NA,NA,36,Full-time parent,London,Dan
9,8,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,8,Jon Jenkins,NA,NA,NA,NA,47,Blood courier,Newport,Jon
9,8,Karen Wright,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield,Karen
9,8,Kim-Joy Hewlett,IN,NA,NA,2,27,Mental health specialist,Leeds,Kim-Joy
9,8,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,8,Manon Lagrave,OUT,NA,NA,4,26,Software project manager,London,Manon
9,8,Rahul Mandal,IN,NA,NA,5,30,Research scientist,Rotherham,Rahul
9,8,Ruby Bhogal,STAR BAKER,NA,NA,3,29,Project manager,London,Ruby
9,8,Terry Hartill,NA,NA,NA,NA,56,Retired air steward,West Midlands,Terry
9,9,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,9,Briony Williams,OUT,NA,NA,3,33,Full-time parent,Bristol,Briony
9,9,Dan Beasley-Harling,NA,NA,NA,NA,36,Full-time parent,London,Dan
9,9,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,9,Jon Jenkins,NA,NA,NA,NA,47,Blood courier,Newport,Jon
9,9,Karen Wright,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield,Karen
9,9,Kim-Joy Hewlett,IN,NA,NA,2,27,Mental health specialist,Leeds,Kim-Joy
9,9,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,9,Manon Lagrave,NA,NA,NA,NA,26,Software project manager,London,Manon
9,9,Rahul Mandal,IN,NA,NA,4,30,Research scientist,Rotherham,Rahul
9,9,Ruby Bhogal,STAR BAKER,NA,NA,1,29,Project manager,London,Ruby
9,9,Terry Hartill,NA,NA,NA,NA,56,Retired air steward,West Midlands,Terry
9,10,Antony Amourdoux,NA,NA,NA,NA,30,Banker,London,Antony
9,10,Briony Williams,NA,NA,NA,NA,33,Full-time parent,Bristol,Briony
9,10,Dan Beasley-Harling,NA,NA,NA,NA,36,Full-time parent,London,Dan
9,10,Imelda McCarron,NA,NA,NA,NA,33,Countryside recreation officer,County Tyrone,Imelda
9,10,Jon Jenkins,NA,NA,NA,NA,47,Blood courier,Newport,Jon
9,10,Karen Wright,NA,NA,NA,NA,60,In-store sampling assistant,Wakefield,Karen
9,10,Kim-Joy Hewlett,Runner-up,NA,NA,1,27,Mental health specialist,Leeds,Kim-Joy
9,10,Luke Thompson,NA,NA,NA,NA,30,Civil servant/house and techno DJ,Sheffield,Luke
9,10,Manon Lagrave,NA,NA,NA,NA,26,Software project manager,London,Manon
9,10,Rahul Mandal,WINNER,NA,NA,2,30,Research scientist,Rotherham,Rahul
9,10,Ruby Bhogal,Runner-up,NA,NA,3,29,Project manager,London,Ruby
9,10,Terry Hartill,NA,NA,NA,NA,56,Retired air steward,West Midlands,Terry
10,1,Alice Fevronia,IN,NA,NA,5,28,Geography teacher,Essex,Alice
10,1,Amelia LeBruin,IN,NA,NA,4,24,Fashion designer,Halifax,Amelia
10,1,Dan Chambers,OUT,NA,NA,9,32,Support worker,Rotherham,Dan
10,1,David Atherton,IN,NA,NA,10,36,International health adviser,Whitby,David
10,1,Helena Garcia,IN,NA,NA,12,40,Online project manager,Leeds,Helena
10,1,Henry Bird,IN,NA,NA,1,20,Student,Durham,Henry
10,1,Jamie Finn,IN,NA,NA,13,20,Part-time waiter,Surrey,Jamie
10,1,Michael Chakraverty,IN,NA,NA,11,26,Theatre manager/fitness instructor,Stratford-upon-Avon,Michael
10,1,Michelle Evans-Fecci,STAR BAKER,NA,NA,6,35,Print shop administrator,"Tenby, Wales",Michelle
10,1,Phil Thorne,IN,NA,NA,8,56,HGV driver,Rainham,Phil
10,1,Priya O'Shea,IN,NA,NA,7,34,Marketing consultant,Leicester,Priya
10,1,Rosie Brandreth-Poynter,IN,NA,NA,2,28,Veterinary surgeon,Somerset,Rosie
10,1,Steph Blackwell,IN,NA,NA,3,28,Shop assistant,Chester,Steph
10,2,Alice Fevronia,STAR BAKER,NA,NA,1,28,Geography teacher,Essex,Alice
10,2,Amelia LeBruin,IN,NA,NA,9,24,Fashion designer,Halifax,Amelia
